"reviewId","formattedReviewDate","reviewSourceCode","reviewIncentiveCode","productNames","reviewRating","industryCd","industryName","companySizeCd","companySize","jobTitle","reviewSummary","reviewHeadline","upVotes","functionCd","function","partnerReview","productSeoNames","vendorSeoName","sortValue","timestamp"
5081886,"Oct 31, 2023",3,2,"Katalon",5,273,"Software",9897,"50M - 250M USD","Associate","Best platform to manage software testing across mobile, web and desktop.","Make Software testing easy with Katalon",0,230,"General Management",FALSE,katalon,"katalon",1698752860742,1698685200000
5061064,"Oct 20, 2023",3,2,"Katalon",5,268,"Manufacturing",9897,"50M - 250M USD","C PARTS EXPERT","Out overall experience with Katalon has been positive, The platform has proven to be a valuable asset for our test automation needs. It offers a user friendly interface & a comprehensive set of features that simplify & expedite the testing process, resulting in increased efficiency & accuracy in our software testing efforts.","Streamlining testing for software excellence",0,237,"Management / Business Consulting",FALSE,katalon,"katalon",1697766933463,1697734800000
4987614,"Sep 14, 2023",2,1,"Katalon",3,268,"Manufacturing",9899,"500M - 1B USD","QA","Even if it looks easy in videos the software needs basic skillset and overall understand to use it correctly, which isn't a negative point but only natural. Set up everything several times to accomplish the desired test structure and test run stability.","Time consuming software which still can save time",0,233,"IT",FALSE,katalon,"katalon",1694668300773,1694624400000
4743214,"Jun 3, 2023",2,1,"Katalon",4,273,"Software",9903,"30B + USD","SDE-1","Katalon has brought significant development to automation testing world and has made automation testing very easy . The good interface and customs API are cherry on top. It is a great tool that comes with a wide set of functionalities . It is suitable for beginners also as very less coding language is required to use  it.","A great test automation tool",0,228,"Engineering - Other",FALSE,katalon,"katalon",1685799071559,1685725200000
4665994,"May 2, 2023",3,1,"Katalon",5,274,"Telecommunication",9900,"1B - 3B USD","RPA DEVELOPER AND SOFTWARE DEVELOPER","Katalon doesnt require additional extensions to run tests as it offers a wide even Its concise syntax and features such as null safety, extension functions, and coroutines have made it a favorite among developers","Katalon Studio Automation Testing Tool",0,224,"Communications",FALSE,katalon,"katalon",1683019819789,1682960400000
4663304,"Mar 29, 2023",8,1,"Katalon",4,274,"Telecommunication",9897,"50M - 250M USD","Quality Assurance and Automation Manager","Katalon has a user friendly interface that simplifies the process of test creation and execution.it supports multiple scripting languages such as java, Groovy, and JavaScript. Also provide wide range of built in keywords that cover various  test scenarios, enable users to create test cases quickly and easily.","Katalon is a reliable automation testing tool with a user friendly interface.",0,233,"IT",FALSE,katalon,"katalon",1680051421224,1680022800000
4658200,"Mar 25, 2023",2,1,"Katalon",3,274,"Telecommunication",9900,"1B - 3B USD","IT MANAGER","the IDE is not easy when it comes mobile automations and APIs automation.
everything needs to be customized and hard code is required","Katalon, a lot of features but hard to work with them",0,233,"IT",FALSE,katalon,"katalon",1679780300131,1679677200000
4657864,"Mar 25, 2023",3,2,"Katalon",4,271,"Retail",9901,"3B - 10B USD","SDE-2","Katalon have a very friendly and intutive user interface and it makes it very easy for users to create and execute test cases without much training. It also provides cross platofrm support including windows, macOS, linux so it's is really good for cross platform testing also. Katalon is very powerful","Katalon is a powerful and easy to use automation testing tool",0,226,"Data and Analytics",FALSE,katalon,"katalon",1679723606103,1679677200000
4642560,"Mar 17, 2023",8,1,"Katalon",3,270,"Miscellaneous",9901,"3B - 10B USD","DATABASE ADMINISTRATOR","Katalon works as test automation service with low coding requirements. This tool works on mobile devices, web , desktop for automation lots of tasks.","A well suited platform for apps and service testing with low code environment.",0,0,"",FALSE,katalon,"katalon",1679029538293,1678986000000
4634916,"Mar 13, 2023",3,2,"Katalon",4,271,"Retail",9897,"50M - 250M USD","","Katalon is backbone for our testing, it is low code automated testing platform and it's single click self healing feature is a boon fr any UI automation tester.You also get execution summary using report integration with testOps. ","Katalon is changing automated testing ",0,248,"Software Development",FALSE,katalon,"katalon",1678709132860,1678640400000
